Created,TOPIC_BREXIT,TOPIC_CHINA,TOPIC_COVID,TOPIC_STIMULUS
2020-10-22 14:30:00,0,0,2,0.0
2020-10-22 15:00:00,0,0,0,0.0
2020-10-22 15:30:00,0,0,1,0.0
2020-10-22 16:00:00,0,0,0,0.0
2020-10-22 16:30:00,0,0,0,0.0
2020-10-22 17:00:00,0,0,1,0.0
2020-10-22 17:30:00,0,0,1,0.0
2020-10-22 18:00:00,0,0,0,0.0
2020-10-22 18:30:00,0,0,2,0.0
2020-10-22 19:00:00,0,0,1,0.0
2020-10-22 19:30:00,0,0,0,0.0
2020-10-22 20:00:00,0,0,2,0.0
2020-10-22 20:30:00,0,0,0,0.0
2020-10-22 21:00:00,0,0,2,0.0
2020-10-22 21:30:00,0,0,2,0.0
2020-10-22 22:00:00,0,0,0,0.0
2020-10-22 22:30:00,0,0,0,0.0
2020-10-22 23:00:00,0,0,0,0.0
2020-10-22 23:30:00,0,0,0,0.0
2020-10-23 00:00:00,0,0,0,0.0
2020-10-23 00:30:00,0,0,1,0.0
2020-10-23 01:00:00,0,0,1,0.0
2020-10-23 01:30:00,0,0,2,0.0
2020-10-23 02:00:00,0,0,1,0.0
2020-10-23 02:30:00,0,0,0,0.0
2020-10-23 03:00:00,0,0,4,0.0
2020-10-23 03:30:00,0,0,4,0.0
2020-10-23 04:00:00,2,0,0,0.0
2020-10-23 04:30:00,0,0,0,0.0
2020-10-23 05:00:00,0,3,7,0.0
2020-10-23 05:30:00,1,0,1,0.0
2020-10-23 06:00:00,0,0,0,0.0
2020-10-23 06:30:00,0,0,3,0.0
2020-10-23 07:00:00,0,0,6,0.0
2020-10-23 07:30:00,0,0,1,0.0
2020-10-23 08:00:00,2,0,2,0.0
2020-10-23 08:30:00,3,0,2,0.0
2020-10-23 09:00:00,2,0,0,0.0
2020-10-23 09:30:00,0,0,1,0.0
2020-10-23 10:00:00,0,0,1,0.0
2020-10-23 10:30:00,0,0,0,0.0
2020-10-23 11:00:00,0,0,3,0.0
2020-10-23 11:30:00,0,0,1,0.0
2020-10-23 12:00:00,0,0,3,0.0
2020-10-23 12:30:00,0,0,0,0.0
2020-10-23 13:00:00,1,0,1,0.0
2020-10-23 13:30:00,0,0,1,0.0
2020-10-23 14:00:00,0,0,5,0.0
2020-10-23 14:30:00,0,0,1,0.0
2020-10-23 15:00:00,0,0,2,0.0
2020-10-23 15:30:00,0,0,2,0.0
2020-10-23 16:00:00,0,0,2,0.0
2020-10-23 16:30:00,0,0,1,0.0
2020-10-23 17:00:00,2,0,2,0.0
2020-10-23 17:30:00,0,0,0,0.0
2020-10-23 18:00:00,0,0,0,0.0
2020-10-23 18:30:00,0,0,0,0.0
2020-10-23 19:00:00,0,0,1,0.0
2020-10-23 19:30:00,0,0,0,0.0
2020-10-23 20:00:00,0,0,1,0.0
2020-10-23 20:30:00,0,0,0,0.0
2020-10-23 21:00:00,1,0,1,0.0
2020-10-23 21:30:00,0,0,0,0.0
